id_event,id_section,"title",id_film,"description","rooms","url_ticket","date","time",published,soldout,reprogrammed,"reprogramcode",is_private,is_free,id_place,"created_ts","updated_ts",id_film2,id_film3,id_film4,id_film5,id_film6,id_film7,id_film8,id_film9,id_film10,"tags"
1928,67,"SEMINARIO CINECOLOR",0,"<b>SEMINARIO CINECOLOR</b><br>
<b>PROCESOS DE POST PRODUCCIÓN EN SET.
ANÁLISIS DE PROCESOS REALIZADOS PARA LA PELÍCULA ELEFANTE BLANCO.</b><br>
Con Luisa Cavanagh, Lucas Guidalevich, Bill Nieto y Pablo Trapero.<br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.<br> 
<i>Admission to this special activity is free and subject to venue capacity.</i><br> 
Para esta actividad el ingreso es sin entrada, por orden de llegada.<br>
<i>Admission to this activity is on a first-come, first-served basis; no ticket required.</i>","HOYTS10",NULL,"2012-04-12","10:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:08:15","2012-03-27 18:21:36",0,0,0,0,0,0,0,0,0,NULL
1929,72,"Sodankyla forever: Eternal Time / Sodankyla forever: Drama of Light",853,"","NULL",NULL,"2012-04-17","13:00:00",1,0,0,"",NULL,NULL,4,"2012-03-23 21:08:15","2012-03-27 14:39:59",854,0,0,0,0,0,0,0,0,NULL
1930,91,"Cortos  - Muestra - Programa 3",550,"","NULL",NULL,"2012-04-21","20:15:00",1,0,0,"",NULL,NULL,17,"2012-03-23 21:08:17","2012-03-26 15:29:47",576,567,585,559,0,0,0,0,0,NULL
1931,72,"A Day at Karl Marx's Grave / Helsinki, Forever",847,"","Sala Leopoldo Lugones",NULL,"2012-04-14","21:45:00",1,0,0,"",NULL,NULL,3,"2012-03-23 21:09:18","2012-03-23 21:09:18",851,0,0,0,0,0,0,0,0,NULL
1932,66,"MESA INDUSTRY OFFICE",0,"<b> HERRAMIENTAS 1 / GUÍA DE USO PARA PRODUCTORES Y DIRECTORES</b><br>
Con Bárbara Francisco, Jonathan Perel e Ignacio Rey. <br>
<b> Modera: </b> Violeta Bava.<br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.
<i>Admission to this special activity is free and subject to venue capacity.</i><br>
Para esta actividad en el Auditorio / Punto de Encuentro BAFICI asistir directamente.<br>
<i>For this activity taking place at the Auditorium / BAFICI Meeting Point no ticket is required.</i>
 ","Auditorio",NULL,"2012-04-12","15:00:00",1,0,0,"",NULL,NULL,19,"2012-03-23 21:10:57","2012-03-27 18:01:22",0,0,0,0,0,0,0,0,0,NULL
1933,74,"Hirsch - Programa 4",834,"","NULL",NULL,"2012-04-21","21:00:00",1,0,0,"",NULL,NULL,4,"2012-03-23 21:10:57","2012-03-26 15:36:45",835,836,837,839,0,0,0,0,0,NULL
1934,79,"Jackson Marker 4 am / Zorro's Bar Mitzva",772,"","HOYTS8",NULL,"2012-04-17","20:15:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:12:10","2012-03-23 21:12:10",769,0,0,0,0,0,0,0,0,NULL
1935,0,"The Return / Voluptous Sleep",605,"","Auditorio",NULL,"2012-04-21","22:00:00",1,0,0,"",NULL,NULL,5,"2012-03-23 21:12:32","2012-03-23 21:12:32",655,0,0,0,0,0,0,0,0,NULL
1936,5,"Cortos - Competencia - Programa 2",542,"","HOYTS5",NULL,"2012-04-15","12:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:12:43","2012-03-23 21:12:43",541,549,539,538,0,0,0,0,0,NULL
1937,84,"Bem atrás da câmera / Cabaret mineiro",750,"","NULL",NULL,"2012-04-17","21:00:00",1,0,0,"",NULL,NULL,4,"2012-03-23 21:13:40","2012-03-23 21:13:40",751,0,0,0,0,0,0,0,0,NULL
